日期,物流,"上午訂單數
(9點前)","上午可出貨
(已印)",上午未出,"09:01-15:00
訂單數","下午可出貨
(已印)","下午缺品
(未出)",當日總訂單,當日應出訂單數,當日可出貨,缺件未印,當日已出貨,當日已列印未出貨
2026-09-11,超商,24,24,0,6,6,0,30,30,30,0,30,0
2026-09-11,蝦店,52,52,0,27,27,0,79,79,79,0,79,0
2026-09-11,隔日,242,242,0,71,71,0,313,313,313,0,313,0
2026-09-11,店到宅,37,37,0,21,21,0,58,58,58,0,58,0
2026-09-11,新竹,71,71,0,22,22,0,93,93,93,0,93,0
2026-09-11,賣家宅配,4,4,0,1,1,0,5,5,5,0,5,0
2026-09-11,總和,430,430,0,148,148,0,578,578,578,0,578,0
2026-09-12,超商,19,19,0,6,6,0,25,25,25,0,24,1
2026-09-12,蝦店,125,125,0,65,65,0,190,190,190,0,190,0
2026-09-12,隔日,63,63,0,24,24,0,87,87,87,0,87,0
2026-09-12,店到宅,82,82,0,23,23,0,105,105,105,0,105,0
2026-09-12,新竹,46,46,0,15,15,0,61,61,61,0,61,0
2026-09-12,賣家宅配,2,2,0,0,0,0,2,2,2,0,2,0
2026-09-12,總和,337,337,0,133,133,0,470,470,470,0,469,1
2026-09-13,超商,17,17,0,7,7,0,24,24,24,0,24,0
2026-09-13,蝦店,184,184,0,71,71,0,255,255,255,0,255,0
2026-09-13,隔日,74,74,0,28,28,0,102,102,102,0,102,0
2026-09-13,店到宅,75,75,0,32,32,0,107,107,107,0,107,0
2026-09-13,新竹,51,51,0,24,24,0,75,75,75,0,75,0
2026-09-13,賣家宅配,3,3,0,2,2,0,5,5,5,0,5,0
2026-09-13,總和,404,404,0,164,164,0,568,568,568,0,568,0
2026-09-14,超商,14,14,0,8,8,0,22,22,22,0,22,0
2026-09-14,蝦店,199,199,0,61,61,0,260,260,260,0,259,1
2026-09-14,隔日,84,84,0,47,47,0,131,131,131,0,131,0
2026-09-14,店到宅,107,107,0,35,35,0,142,142,142,0,140,2
2026-09-14,新竹,60,60,0,27,27,0,87,87,87,0,86,1
2026-09-14,賣家宅配,4,4,0,0,0,0,4,4,4,0,4,0
2026-09-14,總和,468,468,0,178,178,0,646,646,646,0,642,4
2026-09-15,超商,12,12,0,5,5,0,17,17,17,0,17,0
2026-09-15,蝦店,51,51,0,42,42,0,93,93,93,0,90,3
2026-09-15,隔日,287,287,0,65,65,0,352,352,352,0,352,0
2026-09-15,店到宅,50,50,0,32,32,0,82,82,82,0,81,1
2026-09-15,新竹,68,68,0,41,41,0,109,109,109,0,107,2
2026-09-15,賣家宅配,5,5,0,4,4,0,9,9,9,0,9,0
2026-09-15,總和,473,473,0,189,189,0,662,662,662,0,656,6
2026-09-16,超商,13,13,0,9,1,8,22,22,14,8,14,0
2026-09-16,蝦店,46,45,1,36,4,32,82,82,49,33,48,1
2026-09-16,隔日,240,240,0,91,71,20,331,331,311,20,305,6
2026-09-16,店到宅,39,38,1,23,0,23,62,62,38,24,36,2
2026-09-16,新竹,66,59,7,28,5,23,94,94,64,30,61,3
2026-09-16,賣家宅配,3,3,0,2,0,2,5,5,3,2,3,0
2026-09-16,總和,407,398,9,189,81,108,596,596,479,117,467,12
2026-09-17,超商,13,1,12,0,0,0,13,13,1,12,0,1
2026-09-17,蝦店,51,2,49,1,0,1,52,52,2,50,0,2
2026-09-17,隔日,265,11,254,13,0,13,278,278,11,267,0,11
2026-09-17,店到宅,47,0,47,3,0,3,50,50,0,50,0,0
2026-09-17,新竹,67,3,64,1,0,1,68,68,3,65,0,3
2026-09-17,賣家宅配,8,0,8,0,0,0,8,8,0,8,0,0
2026-09-17,總和,451,17,434,18,0,18,469,469,17,452,0,17
